Date,PMMoV_gc_g_dry_weight,Plant,Population_Served,SC2_N_gc_g_dry_weight,SC2_Norm
10/7/2022,,Winters_WTF,7285,,
10/8/2022,,Winters_WTF,7285,,
10/9/2022,,Winters_WTF,7285,,
10/10/2022,712000000,Winters_WTF,7285,50300,7.064606741573033e-05
10/11/2022,566000000,Winters_WTF,7285,11800,2.0848056537102475e-05
10/12/2022,911000000,Winters_WTF,7285,45600.00000000001,5.005488474204172e-05
10/13/2022,769000000,Winters_WTF,7285,21600,2.808842652795839e-05
10/14/2022,,Winters_WTF,7285,,
10/15/2022,,Winters_WTF,7285,,
10/16/2022,,Winters_WTF,7285,,
10/17/2022,,Winters_WTF,7285,,
10/18/2022,557000000,Winters_WTF,7285,11100.000000000002,1.9928186714542193e-05
10/19/2022,1030000000,Winters_WTF,7285,9620,9.339805825242718e-06
10/20/2022,697000000,Winters_WTF,7285,11100.000000000002,1.592539454806313e-05
10/21/2022,,Winters_WTF,7285,,
10/22/2022,,Winters_WTF,7285,,
10/23/2022,,Winters_WTF,7285,,
10/24/2022,1320000000,Winters_WTF,7285,26400,2e-05
10/25/2022,1670000000,Winters_WTF,7285,13799.999999999998,8.263473053892215e-06
10/26/2022,864000000,Winters_WTF,7285,39800,4.6064814814814814e-05
10/27/2022,1360000000,Winters_WTF,7285,11500,8.455882352941176e-06
10/28/2022,,Winters_WTF,7285,,
10/29/2022,,Winters_WTF,7285,,
10/30/2022,,Winters_WTF,7285,,
10/31/2022,2110000000,Winters_WTF,7285,38300,1.8151658767772513e-05
11/1/2022,1670000000,Winters_WTF,7285,49300,2.9520958083832334e-05
11/2/2022,1130000000,Winters_WTF,7285,47800,4.230088495575221e-05
11/3/2022,1620000000,Winters_WTF,7285,50000,3.08641975308642e-05
11/4/2022,,Winters_WTF,7285,,
11/5/2022,,Winters_WTF,7285,,
11/6/2022,,Winters_WTF,7285,,
11/7/2022,1210000000,Winters_WTF,7285,19000,1.5702479338842974e-05
11/8/2022,457000000,Winters_WTF,7285,31400,6.87089715536105e-05
11/9/2022,4340000000,Winters_WTF,7285,36000,8.294930875576036e-06
11/10/2022,1080000000,Winters_WTF,7285,33600,3.111111111111111e-05
11/11/2022,,Winters_WTF,7285,,
11/12/2022,,Winters_WTF,7285,,
11/13/2022,,Winters_WTF,7285,,
11/14/2022,496000000,Winters_WTF,7285,7190,1.4495967741935484e-05
11/15/2022,952000000,Winters_WTF,7285,76700,8.056722689075631e-05
11/16/2022,836000000,Winters_WTF,7285,35600,4.258373205741627e-05
11/17/2022,443000000,Winters_WTF,7285,25700,5.801354401805869e-05
11/18/2022,,Winters_WTF,7285,,
11/19/2022,,Winters_WTF,7285,,
11/20/2022,,Winters_WTF,7285,,
11/21/2022,443000000,Winters_WTF,7285,12500,2.821670428893905e-05
11/22/2022,888000000,Winters_WTF,7285,27199.999999999996,3.0630630630630625e-05
11/23/2022,445000000,Winters_WTF,7285,6660,1.4966292134831461e-05
11/24/2022,,Winters_WTF,7285,,
11/25/2022,,Winters_WTF,7285,,
11/26/2022,,Winters_WTF,7285,,
11/27/2022,,Winters_WTF,7285,,
11/28/2022,470000000,Winters_WTF,7285,9450,2.0106382978723404e-05
11/29/2022,505000000,Winters_WTF,7285,25400,5.02970297029703e-05
11/30/2022,951000000,Winters_WTF,7285,231000,0.000242902
12/2/2022,820561676,Winters_WTF,7286,82130.06655999999,0.00010009
12/3/2022,,Winters_WTF,7286,,
12/4/2022,,Winters_WTF,7286,,
12/5/2022,863801792.6349206,Winters_WTF,7286,174118.5415873016,0.000201572
12/6/2022,833185558.7642275,Winters_WTF,7286,672653.4463739836,0.000807327
12/7/2022,,Winters_WTF,7286,,
12/8/2022,,Winters_WTF,7286,,
12/9/2022,540541403.3170731,Winters_WTF,7286,64246.34566070461,0.000118856
12/10/2022,,Winters_WTF,7286,,
12/11/2022,,Winters_WTF,7286,,
12/12/2022,2623820274.1960783,Winters_WTF,7286,529908.1241098039,0.000201961
12/13/2022,220749802.3619048,Winters_WTF,7286,69375.21676190474,0.000314271
12/14/2022,,Winters_WTF,7286,,
12/15/2022,,Winters_WTF,7286,,
12/16/2022,338843522.94736844,Winters_WTF,7286,0,4.6177403773849713e-07
12/17/2022,,Winters_WTF,7286,,
12/18/2022,,Winters_WTF,7286,,
12/19/2022,770421427.8620691,Winters_WTF,7286,111234.81837854406,0.000144382
12/20/2022,,Winters_WTF,7286,,
12/21/2022,542763895.1268436,Winters_WTF,7286,117129.89696755158,0.000215803
12/22/2022,,Winters_WTF,7286,,
12/23/2022,,Winters_WTF,7286,,
12/24/2022,,Winters_WTF,7286,,
12/25/2022,,Winters_WTF,7286,,
12/26/2022,,Winters_WTF,7286,,
12/27/2022,1122332600.0306516,Winters_WTF,7286,454759.2982068965,0.000405191
12/28/2022,537827852.4644195,Winters_WTF,7286,304536.2265168539,0.000566234
12/29/2022,737427209.9555556,Winters_WTF,7286,500774.01623703697,0.000679083
12/30/2022,264867985.23076925,Winters_WTF,7286,298398.3078681318,0.001126593
12/31/2022,,Winters_WTF,7286,,
1/1/2023,,Winters_WTF,7286,,
1/2/2023,,Winters_WTF,7286,,
1/3/2023,,Winters_WTF,7286,,
1/4/2023,418078878.60869575,Winters_WTF,7286,86924.42161,0.000207914
1/5/2023,1069127668.3508772,Winters_WTF,7286,336636.19185964915,0.00031487
1/6/2023,259262448.28571427,Winters_WTF,7286,173482.12285714285,0.000669137
1/7/2023,,Winters_WTF,7286,,
1/8/2023,,Winters_WTF,7286,,
1/9/2023,,Winters_WTF,7286,,
1/10/2023,592011817.6576577,Winters_WTF,7286,1479726.8425225224,0.002499489
1/11/2023,642350034.3703703,Winters_WTF,7286,268012.64725925925,0.000417238
1/12/2023,,Winters_WTF,7286,,
1/13/2023,792665506.9333333,Winters_WTF,7286,85067.04172000001,0.000107318
1/14/2023,,Winters_WTF,7286,,
1/15/2023,,Winters_WTF,7286,,
1/16/2023,538252866.2,Winters_WTF,7286,23195.97810731707,4.309494582088779e-05
1/17/2023,,Winters_WTF,7286,,
1/18/2023,640904717,Winters_WTF,7286,36067.70918918919,5.6276242371157596e-05
1/19/2023,,Winters_WTF,7286,,
1/20/2023,2103531683.555556,Winters_WTF,7286,182721.3880888889,8.686410074890754e-05
1/21/2023,,Winters_WTF,7286,,
1/22/2023,,Winters_WTF,7286,,
1/23/2023,1141196326.060606,Winters_WTF,7286,9813.758459,8.599535623524919e-06
1/24/2023,,Winters_WTF,7286,,
1/25/2023,,Winters_WTF,7286,,
1/26/2023,,Winters_WTF,7286,,
1/27/2023,50676545560.97561,Winters_WTF,7286,46802.22612466124,9.235480754769943e-07
1/28/2023,,Winters_WTF,7286,,
1/29/2023,,Winters_WTF,7286,,
1/30/2023,1165988617.4945056,Winters_WTF,7286,33763.057582417576,2.895659277958318e-05
1/31/2023,,Winters_WTF,7286,,
